feature,importance_gain,importance_split
day,309235.4197682127,15101
txn_store_trend_7_28,291073.45580552844,11796
month,279160.3395438045,19494
store_nbr,277747.8256463595,34294
family,263227.93821811676,25507
sf_log_mean_28,132089.1734622328,10947
txn_store_log_mean_28,127130.34679999767,5504
sf_dow_log_mean_56,116264.07464586617,10052
sf_promo_active_log_mean_365,113943.7169970749,9032
deterministic_log_pred,109301.08267152123,4909
txn_store_dow_log_mean_56,97420.26164975006,6588
txn_cluster_dow_log_mean_365,93256.2741764377,5436
day_of_week,87938.64143157378,6554
onpromotion,84782.04211911513,3267
quarter,84124.61681986786,1981
family_promo_bucket_dow_log_mean_365,79396.85923442733,9643
cluster_family_day_of_week_log_mean_365,46102.6207257139,7585
is_weekend,44696.20577219874,1128
deterministic_prediction,43224.933228303795,2932
promotion_adjustment_feature,28094.414125801995,2817
holiday_adjustment_feature,7315.325683452189,2356
national_holiday,6910.2970806360245,492
is_holiday,2174.792300388217,281
promo_active,1887.3558282852173,7
promo_bucket,1688.798880212009,456
cluster,1613.2561037316918,428
is_month_end,1031.5046725422144,236
local_holiday,422.54194912314415,182
regional_holiday,1.3457190096378326,2
