epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.10593,2.01568,5.20317,2.11549,0.93065,0.04,0.05335,0.02736,1.99594,4.7312,2.57232,0.00015,0.00015,0.08515
2,9.64174,1.39439,2.34068,1.56236,0.95104,0.06,0.08838,0.04371,2.11454,4.29792,2.84583,0.000307954,0.000307954,0.069308
3,13.5468,1.25127,1.5684,1.47151,0.73276,0.06,0.01214,0.00525,2.19819,5.20279,3.14124,0.000463796,0.000463796,0.0534638
4,17.0294,1.28644,1.42911,1.46715,0.69909,0.2,0.20814,0.09651,2.44791,5.34306,3.48021,0.000617526,0.000617526,0.0376175
5,20.5574,1.2941,1.21774,1.54453,0.46477,0.47391,0.38138,0.20233,1.72815,4.48869,2.24934,0.000769144,0.000769144,0.0217691
6,24.1418,1.31972,1.24012,1.55249,0.88332,0.60391,0.72874,0.43711,1.36235,1.84611,1.91751,0.00091865,0.00091865,0.00591865
7,27.7192,1.23963,1.18412,1.4616,0.5674,0.5396,0.65856,0.36452,1.34384,3.44347,1.89034,0.0009604,0.0009604,0.0009604
8,31.1427,1.18109,1.17267,1.47617,0.57789,0.72294,0.72529,0.41335,1.44903,2.74467,2.12675,0.0009538,0.0009538,0.0009538
9,34.5281,1.18535,1.0549,1.45318,0.79002,0.64019,0.78588,0.49159,1.2625,2.25784,1.88068,0.0009472,0.0009472,0.0009472
10,38.1013,1.10519,0.95919,1.42402,0.86972,0.54294,0.82222,0.48281,1.36216,1.87198,2.0283,0.0009406,0.0009406,0.0009406
11,41.3901,1.17776,1.0097,1.46102,0.81876,0.74919,0.87729,0.51215,1.43099,1.51833,2.15025,0.000934,0.000934,0.000934
12,44.9232,1.1436,0.92626,1.45425,0.70349,0.7666,0.83548,0.46529,1.37506,1.51186,2.04766,0.0009274,0.0009274,0.0009274
13,48.4184,1.14889,0.92511,1.4504,0.8463,0.6467,0.7595,0.40906,1.44718,1.61647,2.1226,0.0009208,0.0009208,0.0009208
